epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.479,2.16444,5.36657,1.66314,0.00064,0.14173,0.08774,0.06944,1.92435,5.36422,1.45168,0.0003125,0.0003125,0.0003125
2,239.621,1.96246,3.76083,1.36443,0.00084,0.24671,0.18526,0.12271,1.92313,4.89039,1.48593,0.000624877,0.000624877,0.000624877
3,353.865,1.97083,3.42445,1.39011,1,0.02244,0.18926,0.11308,1.93678,4.70876,1.49098,0.000924385,0.000924385,0.000924385
4,470.782,1.91219,3.04381,1.38948,0.73913,0.27143,0.4021,0.2047,1.9313,3.80563,1.5008,0.00117575,0.00117575,0.00117575
5,610.401,1.88747,2.5906,1.33784,0.58013,0.42742,0.43209,0.20348,1.89206,3.29015,1.45399,0.001151,0.001151,0.001151
6,758.933,1.90708,2.52557,1.39192,0.55159,0.4312,0.45606,0.21911,1.83975,2.94489,1.39972,0.00112625,0.00112625,0.00112625
7,876.006,1.81451,2.17265,1.33687,0.42907,0.45862,0.47563,0.24658,1.76571,2.66155,1.40658,0.0011015,0.0011015,0.0011015
8,990.068,1.84377,2.18982,1.34878,0.69492,0.52315,0.59415,0.27103,1.82864,2.27807,1.43653,0.00107675,0.00107675,0.00107675
9,1102.79,1.80258,1.91715,1.32731,0.58743,0.51902,0.61307,0.31092,1.74123,2.06276,1.34062,0.001052,0.001052,0.001052
10,1216.29,1.78681,1.86011,1.304,0.82283,0.59746,0.7008,0.33598,1.71974,2.02177,1.32587,0.00102725,0.00102725,0.00102725
11,1329.17,1.72037,1.64569,1.23886,0.67561,0.61838,0.7322,0.3524,1.63873,1.70102,1.26674,0.0010025,0.0010025,0.0010025
12,1442.92,1.65736,1.51041,1.23703,0.71507,0.66259,0.76096,0.38956,1.64697,1.59754,1.30321,0.00097775,0.00097775,0.00097775
13,1556.36,1.67456,1.48351,1.26554,0.83119,0.69765,0.79053,0.40082,1.61006,1.51622,1.28068,0.000953,0.000953,0.000953
14,1669.91,1.62131,1.48746,1.24346,0.76918,0.69101,0.78157,0.39431,1.6788,1.46394,1.31646,0.00092825,0.00092825,0.00092825
15,1783.04,1.6243,1.39742,1.2396,0.80096,0.67974,0.7854,0.41987,1.60119,1.44691,1.29287,0.0009035,0.0009035,0.0009035
16,1896.37,1.60461,1.36845,1.22539,0.87554,0.72931,0.81715,0.43476,1.58754,1.35237,1.25933,0.00087875,0.00087875,0.00087875
17,2010.12,1.50138,1.25496,1.18154,0.84068,0.79071,0.85623,0.44981,1.57227,1.25517,1.24574,0.000854,0.000854,0.000854
18,2123.97,1.58901,1.18825,1.19953,0.77425,0.78179,0.82332,0.43158,1.59054,1.23658,1.26246,0.00082925,0.00082925,0.00082925
19,2236.97,1.60047,1.22797,1.23948,0.75609,0.70187,0.77564,0.40733,1.63271,1.33419,1.28191,0.0008045,0.0008045,0.0008045
20,2349.67,1.52632,1.12642,1.17718,0.75456,0.70141,0.76399,0.38625,1.7012,1.41847,1.29328,0.00077975,0.00077975,0.00077975
21,2462.78,1.56093,1.1707,1.18494,0.87151,0.80396,0.86211,0.4468,1.53821,1.07924,1.22196,0.000755,0.000755,0.000755
22,2575.6,1.47673,1.08514,1.17862,0.77129,0.79832,0.83147,0.441,1.51659,1.13281,1.2253,0.00073025,0.00073025,0.00073025
23,2688.82,1.42509,1.11169,1.12241,0.83491,0.85268,0.87808,0.45975,1.54281,1.12333,1.23027,0.0007055,0.0007055,0.0007055
24,2802.07,1.43755,1.0544,1.14438,0.80886,0.81205,0.85656,0.47186,1.52395,1.03146,1.22341,0.00068075,0.00068075,0.00068075
25,2915.95,1.43911,1.00302,1.13203,0.82891,0.79003,0.85288,0.45062,1.55932,1.02636,1.23038,0.000656,0.000656,0.000656
26,3029.82,1.5315,1.01091,1.20231,0.78071,0.86175,0.87187,0.47657,1.54675,0.99592,1.23013,0.00063125,0.00063125,0.00063125
27,3143.35,1.38588,0.97234,1.11926,0.8688,0.8277,0.89916,0.50938,1.47536,0.97334,1.1874,0.0006065,0.0006065,0.0006065
28,3255.97,1.431,1.0004,1.14068,0.86726,0.84569,0.88382,0.48995,1.50925,0.98717,1.19631,0.00058175,0.00058175,0.00058175
29,3368.44,1.37546,0.91891,1.12627,0.91016,0.80241,0.89161,0.48755,1.54092,0.99822,1.20807,0.000557,0.000557,0.000557
30,3481.76,1.41745,0.94774,1.11207,0.85233,0.87699,0.90829,0.46851,1.60437,0.98557,1.23541,0.00053225,0.00053225,0.00053225
31,3594.93,1.37904,0.93551,1.11526,0.87416,0.85967,0.90654,0.4872,1.50316,0.94424,1.21096,0.0005075,0.0005075,0.0005075
32,3708.35,1.36999,0.90804,1.12002,0.91526,0.83942,0.9193,0.49593,1.5083,0.92013,1.21044,0.00048275,0.00048275,0.00048275
33,3821.69,1.30292,0.87129,1.0904,0.88735,0.90699,0.94355,0.50216,1.52346,0.87725,1.21531,0.000458,0.000458,0.000458
34,3934.52,1.34198,0.86773,1.11405,0.94026,0.87408,0.93938,0.5086,1.50091,0.85316,1.2044,0.00043325,0.00043325,0.00043325
35,4047.91,1.3437,0.84787,1.10821,0.89623,0.88145,0.92241,0.50453,1.52403,0.89328,1.21878,0.0004085,0.0004085,0.0004085
36,4160.93,1.30405,0.8381,1.07534,0.91628,0.87318,0.92836,0.52225,1.49278,0.82319,1.2119,0.00038375,0.00038375,0.00038375
37,4274.73,1.30178,0.82928,1.05936,0.88563,0.89344,0.92806,0.51403,1.51085,0.84596,1.214,0.000359,0.000359,0.000359
38,4390.02,1.31552,0.81808,1.10468,0.9161,0.9004,0.93572,0.51972,1.45881,0.79994,1.20277,0.00033425,0.00033425,0.00033425
39,4502.65,1.35873,0.82761,1.11704,0.90338,0.90848,0.93763,0.52239,1.45596,0.79165,1.19321,0.0003095,0.0003095,0.0003095
40,4615.4,1.22811,0.79062,1.07025,0.87382,0.91145,0.92756,0.51368,1.45673,0.80052,1.19564,0.00028475,0.00028475,0.00028475
41,4726.58,1.26605,0.8202,1.1064,0.90138,0.88964,0.91488,0.50466,1.48532,0.82869,1.20994,0.00026,0.00026,0.00026
42,4838.15,1.27753,0.81907,1.0975,0.89452,0.88964,0.9346,0.51351,1.49983,0.79831,1.20898,0.00023525,0.00023525,0.00023525
43,4950.09,1.23833,0.74998,1.08459,0.8942,0.91089,0.94986,0.52585,1.46956,0.79515,1.19999,0.0002105,0.0002105,0.0002105
44,5062.77,1.25411,0.76464,1.08516,0.89766,0.91231,0.94307,0.51962,1.47917,0.77589,1.19943,0.00018575,0.00018575,0.00018575
45,5174.14,1.21207,0.7371,1.07896,0.91913,0.89035,0.93946,0.51965,1.48105,0.78369,1.19218,0.000161,0.000161,0.000161
46,5286.2,1.19695,0.736,1.06247,0.91788,0.87606,0.93801,0.52739,1.47476,0.78249,1.18793,0.00013625,0.00013625,0.00013625
47,5398.25,1.17973,0.7256,1.05817,0.89597,0.91234,0.94367,0.5328,1.45246,0.76382,1.17904,0.0001115,0.0001115,0.0001115
48,5510.29,1.15838,0.69514,1.03015,0.90681,0.92752,0.94592,0.53872,1.45358,0.75432,1.18483,8.675e-05,8.675e-05,8.675e-05
49,5622.87,1.16746,0.69911,1.05006,0.90828,0.91383,0.94589,0.53713,1.45026,0.74742,1.18681,6.2e-05,6.2e-05,6.2e-05
50,5734.72,1.1548,0.69574,1.04652,0.93676,0.91705,0.95518,0.53577,1.44653,0.73954,1.18619,3.725e-05,3.725e-05,3.725e-05
